
 ****** Running generation 0 ****** 


RUN: run status: enemy: 8; fitness: -3.7777552789820725; player life: 31.30000000000064; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 94.56936470590374; player life: 95.80000000000004; enemy life: 0; time: 150

RUN: run status: enemy: 8; fitness: -6.495265555937008; player life: 0; enemy life: 100; time: 662

RUN: run status: enemy: 8; fitness: 86.38356122494234; player life: 22.30000000000062; enemy life: 0; time: 346

RUN: run status: enemy: 8; fitness: 12.12506926914797; player life: 0; enemy life: 80.0; time: 356

RUN: run status: enemy: 8; fitness: -5.736572297479192; player life: 0; enemy life: 100; time: 310

RUN: run status: enemy: 8; fitness: 89.19492415940041; player life: 57.7000000000004; enemy life: 0; time: 717

RUN: run status: enemy: 8; fitness: -6.4967749901858625; player life: 0; enemy life: 100; time: 663

RUN: run status: enemy: 8; fitness: 65.4474921129654; player life: 0; enemy life: 20.0; time: 701

RUN: run status: enemy: 8; fitness: 87.8499170696477; player life: 36.7000000000006; enemy life: 0; time: 337

RUN: run status: enemy: 8; fitness: -6.054439346269371; player life: 0; enemy life: 100; time: 426

RUN: run status: enemy: 8; fitness: 12.07307397402959; player life: 0; enemy life: 80.0; time: 375

RUN: run status: enemy: 8; fitness: -3.0577552789820786; player life: 38.50000000000058; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 84.83736716631768; player life: 8.800000000000587; enemy life: 0; time: 421

RUN: run status: enemy: 8; fitness: -5.968707559985366; player life: 0; enemy life: 100; time: 391

RUN: run status: enemy: 8; fitness: 87.79322527308774; player life: 38.80000000000058; enemy life: 0; time: 440

RUN: run status: enemy: 8; fitness: -4.557755278982075; player life: 23.50000000000062; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 29.769518552421516; player life: 0; enemy life: 60.0; time: 508

RUN: run status: enemy: 8; fitness: 29.78139988030827; player life: 0; enemy life: 60.0; time: 502

RUN: run status: enemy: 8; fitness: 11.753893234518436; player life: 0; enemy life: 80.0; time: 516

RUN: run status: enemy: 8; fitness: 89.40631983303939; player life: 59.80000000000038; enemy life: 0; time: 716

